Id,Start time,Completion time,Email,Name,What is your age group?,What is your occupation?,How often do you use the internet for work or personal activities?,Which devices do you use regularly?,How would you rate your cybersecurity knowledge based on your experience and security habits?.Rate your cybersecurity knowledge.,Which of the following is the most secure way to create a password?,"Have you ever been a victim of a cyber threat (e.g., phishing, hacked account, identity theft)?",If you choose yes above: What type of cyber threat did you experience?,Which of the following do you think are cybersecurity threats?,How have you learned about Cyber Security?,How do you typically create your passwords?,How often do you update your passwords?,"If you don’t update passwords regularly, why not?",Do you enable Two-Factor Authentication (2FA) on any accounts for extra security?,"If you receive a suspicious email, what is your first reaction?",How often do you read privacy policies before accepting them?,"If a pop-up warns you about a security risk, what would you do?",What are the main reasons people fall for cyber scams?,Why do you think people fall for cyber scams?,What makes you trust a website or online service?,Did you know AI tools can analyze cybersecurity risks?,"Would you use an AI-powered assistant to explain cybersecurity threats in simple terms? 
","Have you ever used AI tools (e.g., ChatGPT, Gemini, DeepSeek) for cybersecurity advice?","What concerns, if any, do you have about AI for Cyber Security?","If an AI could help you improve your cybersecurity knowledge, how would you like it to assist you?",What is the biggest challenge in learning cybersecurity?,Would you like to be updated on the results of this project?,Please enter your email if you’d like to receive updates.,"Is there anything missing from this survey or anything you would like to add about cybersecurity awareness? 
"
58,3/4/2025 19:26,3/4/2025 19:39,anonymous,,45-54,Finance/Banking,Daily,Smartphone;Desktop computer;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,I don’t actively learn about cybersecurity,Reuse passwords across accounts;Use a password manager,Never,I forget to update my passwords,Not sure what it is,Ignore it,Rarely,Close it immediately,Scammers are getting more convincing,,,No,Yes,No,AI replacing human cybersecurity experts; AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Quick answers to security questions;Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts", I don’t know where to start,Yes,,
59,3/4/2025 19:41,3/4/2025 19:44,anonymous,,25-34,Science/Research,Daily,Smartphone;Laptop;Desktop computer,Very,Using a password manager to generate and store unique passwords.,Yes,Hacked account,Phishing;Ransomware;Weak passwords,Formal training at work or school;News & articles,Reuse passwords across accounts,Never,I don’t think it’s necessary,No,Ignore it,Sometimes,Read carefully before taking action,They don’t recognize the scam;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,No,No, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Real-time alerts for security threats (e.g., phishing, data breaches)",I think I already know enough,No,,
60,3/4/2025 20:17,3/4/2025 20:22,anonymous,,25-34,Healthcare,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,Yes,Phishing,Phishing;Public WiFi risks;AI-driven cyber attacks;Ransomware,Friend who studies and works in IT;Formal training at work or school,Create unique passwords for each account,Once a year,Takes too much time,Yes,Ignore it,Rarely,Google the warning for more info,They don’t recognize the scam;They trust emails or messages that seem urgent;Scammers are getting more convincing;They are in a rush and don’t double-check;They don’t think cybersecurity is important,,,No,Yes,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data,Quick answers to security questions;Step-by-step guides, I don’t know where to start,No,,
61,3/4/2025 19:51,3/4/2025 20:38,anonymous,,25-34,IT/Cybersecurity professional,Daily,"Desktop computer;Laptop;Smartphone;Smart home devices (Alexa, Google Home, etc.)",Very,Using a password manager to generate and store unique passwords.,Yes,Hacked account;Data breach,Phishing;Ransomware;Public WiFi risks;Weak passwords;All of the above,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);News & articles",Use a password manager;Create unique passwords for each account,Only when required,I don’t think it’s necessary,Yes,Depends on the sender;Verify sender details before taking action;Report it;Ignore it,Never,Google the warning for more info;Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,No,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Real-time alerts for security threats (e.g., phishing, data breaches)",Cyber Security is too technical and complex,No,,"You didn't clearly define what you mean by AI, so I assume you mean LLMs. In question 23, I would have preferred to answer ""none of the above"" as I don't believe LLMs can be relied upon to give cybersecurity advice as long as they are susceptible to hallucination and other forms of falsehoods."
62,3/4/2025 20:49,3/4/2025 20:56,anonymous,,25-34,Student,Daily,Smartphone;Laptop;Desktop computer;Tablet,Some ,Using a password manager to generate and store unique passwords.,Yes,Phishing;Hacked account,All of the above,"Formal training at work or school;Social media (TikTok, Twitter, Instagram, etc.);News & articles",Use a password manager,Only when required,"I use a password manager, so I don’t need to",Yes,Verify sender details before taking action,Rarely,Read carefully before taking action,They don’t recognize the scam,,,No,No,No, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI won’t be useful—I’d rather rely on my own judgment,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time);Cybersecurity challenges or mini-games to learn security skills. ;Short educational videos explaining security concepts;Quick answers to security questions",Online resources are too boring or hard to understand,No,,
63,3/4/2025 20:58,3/4/2025 21:04,anonymous,,45-54,Retail/Hospitality,Daily,Smartphone;Laptop;Desktop computer,Basic ,Using a password manager to generate and store unique passwords.,Not sure,Hacked account,All of the above,News & articles,Create unique passwords for each account,Only when required,I forget to update my passwords,No,Report it,Never,Ignore it and continue,Scammers are getting more convincing,,,No,No,No, AI might make mistakes and misidentify threats,Quick answers to security questions,I don’t have time to learn,No,,
64,3/4/2025 21:07,3/4/2025 21:13,anonymous,,35-44,"Creative Industry (Design, Writing, Arts)",Daily,"Smartphone;Laptop;Smart home devices (Alexa, Google Home, etc.)",Good ,Using a password manager to generate and store unique passwords.,Yes,Phishing;Data breach,All of the above,Formal training at work or school,Use a password manager,Every few months,"I use a password manager, so I don’t need to",Yes,Ignore it;Report it,Sometimes,Read carefully before taking action,They trust emails or messages that seem urgent;They are in a rush and don’t double-check;They don’t think cybersecurity is important;Scammers are getting more convincing;They don’t recognize the scam,,,Yes,Maybe,Yes, AI might make mistakes and misidentify threats;AI could be biased and not work equally for everyone,"Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time)",Online resources are too boring or hard to understand,No,,
65,3/4/2025 21:10,3/4/2025 21:20,anonymous,,35-44,Retail/Hospitality,Daily,"Smartphone;Laptop;Smart home devices (Alexa, Google Home, etc.)",Good ,Using a password manager to generate and store unique passwords.,No,,All of the above,Formal training at work or school,Use a password manager;Create unique passwords for each account,Only when required,Too many accounts to update passwords regularly,Yes,Verify sender details before taking action,Rarely,Read carefully before taking action,Scammers are getting more convincing;They don’t recognize the scam,,,Yes,Yes,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches)",I think I already know enough,No,,
66,3/4/2025 21:19,3/4/2025 21:24,anonymous,,25-34,Self-employed,Daily,Smartphone;Laptop,Good ,Using a password manager to generate and store unique passwords.,Yes,Data breach,Phishing;Ransomware;Public WiFi risks;Weak passwords;AI-driven cyber attacks;All of the above,"Formal training at work or school;Social media (TikTok, Twitter, Instagram, etc.);News & articles",Create unique passwords for each account;Reuse passwords across accounts,Only when required,I forget to update my passwords,Yes,Ignore it;Depends on the sender,Never,Ignore it and continue;Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ",I think I already know enough,No,,
67,3/4/2025 21:23,3/4/2025 21:27,anonymous,,18-24,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,All of the above,"News & articles;Social media (TikTok, Twitter, Instagram, etc.)",Reuse passwords across accounts,Only when required,Too difficult to remember new passwords,No,Ignore it,Never,Close it immediately;Ignore it and continue,They don’t recognize the scam,,,No,No,Yes,AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches)",I think I already know enough,No,,
68,3/4/2025 21:26,3/4/2025 21:29,anonymous,,45-54,Education,A few times a week,Laptop;Smartphone,Basic ,Writing down passwords in a notebook so you don’t forget them.,Not sure,,All of the above,I don’t actively learn about cybersecurity,Use simple/easy-to-remember passwords,Only when required,Too difficult to remember new passwords,No,Ignore it,Never,Read carefully before taking action,They trust emails or messages that seem urgent,,,No,Maybe,No,AI replacing human cybersecurity experts," Hands-on simulations (e.g., recognizing phishing emails in real-time)", I don’t know where to start,No,,
69,3/4/2025 21:27,3/4/2025 21:38,anonymous,,25-34,IT/Cybersecurity professional,Daily,Smartphone;Laptop;Desktop computer,Good ,Using a password manager to generate and store unique passwords.,No,,Weak passwords;Public WiFi risks;Ransomware;Phishing,"Online courses (YouTube, Udemy, etc.);News & articles",Use a password manager,Only when required,No longer a NIST recommendation to include password rotation.,Yes,Verify sender details before taking action,Always,Read carefully before taking action,Scammers are getting more convincing;They don’t recognize the scam;They are in a rush and don’t double-check;People are not often cognizant that scams are something that are done to them as opposed to done to other people.,,,Yes,No,No,AI could collect too much personal data;AI replacing human cybersecurity experts;AI won’t be useful—I’d rather rely on my own judgment,"AI is not a good replacement for generic security training. AI could be useful in helping people understand their network and infrastructure but that introduces a gigantic security risk as we would need to provide this sensitive data to external models, or require people to train their own models based on their network data (and at this point, what is the difference between learning IT vs training a model on your infrastructure?",There are no obstacles to learning.,No,,"AI is not the future in cybersecurity, from the perspective of vendors and from the end user side. We should not be granting access to internal networks for tools you do not fully understand and closed source AI models are exactly the black box tool that you cannot audit. If you are capable of building and training your own models from open source options, then you probably already understand security fundamentals given your technical understanding.

AI tools can be used to guide people to learning but I firmly believe that digital learning can only be generic.

Personalized advice requires knowledge of your infrastructure, so either that needs to come from within (by applying generic information), or from a person who can be audited."
70,3/4/2025 21:39,3/4/2025 21:44,anonymous,,45-54,Retail/Hospitality,Daily,Smartphone;Desktop computer;Tablet,Basic ,Using a password manager to generate and store unique passwords.,Yes,Phishing;Hacked account,Phishing;AI-driven cyber attacks,Formal training at work or school,Use a password manager;Reuse passwords across accounts,Never,I forget to update my passwords,Yes,Report it,Sometimes,Read carefully before taking action,They don’t recognize the scam,,,No,Maybe,No, AI might make mistakes and misidentify threats,Step-by-step guides;Short educational videos explaining security concepts, I don’t know where to start,No,,
71,3/4/2025 22:03,3/4/2025 22:10,anonymous,,35-44,Government/Public Sector,Daily,"Smartphone;Laptop;Smart home devices (Alexa, Google Home, etc.);Tablet",Very,Using a password manager to generate and store unique passwords.,Yes,Data breach,All of the above,News & articles,Use a password manager,Once a year,,Yes,Ignore it,Sometimes,Close it immediately,People are stupid and lazy.,,,Yes,No,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches);Quick answers to security questions",Nothing stops me from learning more,No,,
72,3/4/2025 21:38,3/4/2025 22:49,anonymous,,35-44,Civil Engineer,A few times a week,Smartphone;Laptop;Desktop computer,Some ,"Using a mix of letters, numbers, and symbols but reusing the same password across multiple accounts.",Yes,Phishing,Phishing;Ransomware;AI-driven cyber attacks,News & articles;I don’t actively learn about cybersecurity,Reuse passwords across accounts,Only when required,Takes too much time,No,Verify sender details before taking action;Report it,Rarely,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,Maybe,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data;AI replacing human cybersecurity experts,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ;Short educational videos explaining security concepts",I learn best through interactive learning,Yes,,No
73,3/4/2025 22:43,3/4/2025 22:50,anonymous,,18-24,IT/Cybersecurity professional,Daily,Smartphone;Desktop computer,Good ,Using a password manager to generate and store unique passwords.,Yes,Data breach;Hacked account,All of the above,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);News & articles",Reuse passwords across accounts,Only when required,Takes too much time,No,Ignore it,Never,Read carefully before taking action,Scammers are getting more convincing;They don’t recognize the scam;They trust emails or messages that seem urgent;They are in a rush and don’t double-check,,,Yes,Yes,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data,Step-by-step guides;Quick answers to security questions;Short educational videos explaining security concepts,Money,No,,"Just because we are cybersecurity professionals or people with experience in this field doesn’t mean we always follow the best practices. Some do, some don’t and it’s usually a personal choice accepting the risk "
74,3/4/2025 22:48,3/4/2025 22:51,anonymous,,25-34,IT/Cybersecurity professional,Daily,Smartphone;Laptop,Good ,Using a password manager to generate and store unique passwords.,Yes,Phishing,All of the above,Formal training at work or school,Use simple/easy-to-remember passwords,Only when required,I forget to update my passwords,Yes,Ignore it;Report it,Rarely,Read carefully before taking action,They don’t recognize the scam;They are in a rush and don’t double-check,,,Yes,Yes,"I’ve used AI, but not for cybersecurity","No concerns, I fully trust AI",Quick answers to security questions,I don’t have time to learn,No,,
75,3/4/2025 23:08,3/4/2025 23:11,anonymous,,25-34,software engineer,Daily,Smartphone;Laptop;Desktop computer,Good ,Using a password manager to generate and store unique passwords.,Yes,Data breach;Hacked account;Phishing,Phishing;Ransomware;Public WiFi risks;Weak passwords;All of the above;AI-driven cyber attacks,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);Comptia Security+",Use a password manager;Create unique passwords for each account;Reuse passwords across accounts,Once a year,Takes too much time,Yes,Ignore it;Report it;Verify sender details before taking action;Depends on the sender,Sometimes,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check,,,Yes,No,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts," Hands-on simulations (e.g., recognizing phishing emails in real-time)",I think I already know enough,Yes,,I'd be curious how many people change the default passwords of their wifi vs leaving it to the routers default and how many people use bitlocker/other security measures in addition to a password on their PCs. 
76,3/4/2025 23:22,3/4/2025 23:28,anonymous,,25-34,Self-employed,Daily,Smartphone;Laptop;Tablet,Some ,"Creating passwords that are easy for you to remember, like pet names or birthdays.",No,,Phishing,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Only when required,Takes too much time,Yes,Ignore it,Never,Ignore it and continue,Scammers are getting more convincing,,,No,Maybe,Yes,AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches)",I don’t have time to learn,Yes,,
77,3/4/2025 23:38,3/4/2025 23:41,anonymous,,18-24,Student,Daily,Smartphone;Laptop;Tablet,Some ,Using a password manager to generate and store unique passwords.,No,,Phishing;Public WiFi risks;Weak passwords;AI-driven cyber attacks;All of the above;Ransomware,"Social media (TikTok, Twitter, Instagram, etc.);I don’t actively learn about cybersecurity",Use a password manager,Never,Too difficult to remember new passwords,Yes,Report it,Rarely,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They trust emails or messages that seem urgent,,,No,Yes,Yes,"No concerns, I fully trust AI"," Hands-on simulations (e.g., recognizing phishing emails in real-time)",I don’t see why it’s important to me,Yes,,
78,3/4/2025 23:53,3/4/2025 23:56,anonymous,,25-34,Student,Daily,Laptop,Some ,Writing down passwords in a notebook so you don’t forget them.,Yes,Phishing;Hacked account,Phishing;Ransomware;Public WiFi risks;Weak passwords,I don’t actively learn about cybersecurity,Create unique passwords for each account,Only when required,I forget to update my passwords,Yes,Verify sender details before taking action,Never,Google the warning for more info;Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts",I learn best through interactive learning,Yes,,No
79,3/4/2025 23:54,3/5/2025 0:00,anonymous,,45-54,IT/Cybersecurity professional,Daily,Smartphone;Laptop,Very,Using a password manager to generate and store unique passwords.,No,,All of the above,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);News & articles",Use a password manager,Only when required,I don’t think it’s necessary,Yes,Ignore it;Verify sender details before taking action,Sometimes,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,No,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data;AI could be biased and not work equally for everyone,Quick answers to security questions,I'm learning every day,No,,
80,3/5/2025 0:52,3/5/2025 0:56,anonymous,,35-44,IT/Cybersecurity professional,Daily,"Smartphone;Laptop;Desktop computer;Tablet;Smart home devices (Alexa, Google Home, etc.)",Good ,Using a password manager to generate and store unique passwords.,Yes,Email fraud,All of the above,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);Social media (TikTok, Twitter, Instagram, etc.);News & articles",Use a password manager;Create unique passwords for each account,Every few months,,Yes,Verify sender details before taking action,Always,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent;Social engineering,,,Yes,Maybe,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI replacing human cybersecurity experts,"Step-by-step guides;Quick answers to security questions;Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time)",I don’t have time to learn,No,,
81,3/5/2025 1:12,3/5/2025 1:15,anonymous,,25-34,Logistics,Daily,Smartphone;Desktop computer;Laptop,Good ,Using a password manager to generate and store unique passwords.,Yes,Identity theft;Data breach,All of the above,"Formal training at work or school;News & articles;Online courses (YouTube, Udemy, etc.)",Use a password manager;Create unique passwords for each account,Every few months,,Yes,Verify sender details before taking action;Report it,Sometimes,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,No,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI replacing human cybersecurity experts;AI won’t be useful—I’d rather rely on my own judgment," Hands-on simulations (e.g., recognizing phishing emails in real-time);Real-time alerts for security threats (e.g., phishing, data breaches)",I don’t have time to learn,No,,
82,3/5/2025 1:17,3/5/2025 1:21,anonymous,,35-44,Education,Daily,Smartphone;Desktop computer;Laptop,Very,Using a password manager to generate and store unique passwords.,No,,Phishing;Ransomware;Weak passwords;AI-driven cyber attacks,"Social media (TikTok, Twitter, Instagram, etc.);Self driven learning and using platforms like Hack The Box and VulnHub.",Use a password manager,Only when required,I don’t think it’s necessary,Yes,Report it;Ignore it,Always,Ignore it and continue;Close it immediately,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,No,Yes, AI might make mistakes and misidentify threats;AI could be biased and not work equally for everyone," Hands-on simulations (e.g., recognizing phishing emails in real-time)",I think I already know enough,No,,
83,3/5/2025 1:29,3/5/2025 1:31,anonymous,,18-24,IT/Cybersecurity professional,Daily,"Smartphone;Laptop;Desktop computer;Smart home devices (Alexa, Google Home, etc.)",Good ,Using a password manager to generate and store unique passwords.,No,,Phishing;Ransomware;Weak passwords;AI-driven cyber attacks,"Online courses (YouTube, Udemy, etc.)",Use a password manager;Create unique passwords for each account,Only when required,Takes too much time,Yes,Verify sender details before taking action,Sometimes,Read carefully before taking action,They don’t recognize the scam;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,No,No, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI replacing human cybersecurity experts;AI won’t be useful—I’d rather rely on my own judgment,Quick answers to security questions,I think I already know enough,No,,
84,3/5/2025 1:30,3/5/2025 1:35,anonymous,,18-24,Student,Daily,Laptop;Smartphone,Some ,Using a password manager to generate and store unique passwords.,Yes,Phishing;Hacked account,All of the above,"Online courses (YouTube, Udemy, etc.);News & articles",Use a password manager,Never,"I use a password manager, so I don’t need to",Yes,Verify sender details before taking action,Never,Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,Yes,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches)",Online resources are too boring or hard to understand,No,,Maybe questions about keeping up to date with the latest threats.
85,3/5/2025 1:28,3/5/2025 1:37,anonymous,,18-24,Student,Daily,Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,Phishing;Ransomware;Weak passwords,"Online courses (YouTube, Udemy, etc.)",Use a password manager;Create unique passwords for each account;Reuse passwords across accounts,Never,Takes too much time,Yes,Verify sender details before taking action;Depends on the sender,Never,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,"Yes, but only if it’s interactive",Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time)",I learn best through interactive learning,No,,
86,3/5/2025 1:56,3/5/2025 2:01,anonymous,,65+,Self-employed,Daily,"Smartphone;Laptop;Smart home devices (Alexa, Google Home, etc.);Tablet",Very,Using a password manager to generate and store unique passwords.,Yes,Data breach,Phishing;Ransomware;Public WiFi risks;Weak passwords;All of the above;AI-driven cyber attacks,"Online courses (YouTube, Udemy, etc.);Social media (TikTok, Twitter, Instagram, etc.);News & articles",Use a password manager;Create unique passwords for each account,Once a year,,Yes,Report it,Always,Read carefully before taking action,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,Yes, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI replacing human cybersecurity experts,"Step-by-step guides;Quick answers to security questions;Cybersecurity challenges or mini-games to learn security skills. ; Hands-on simulations (e.g., recognizing phishing emails in real-time);Short educational videos explaining security concepts",I’m actively learning through multiple channels so the above answers are irrelevant.,Yes,,
87,3/5/2025 6:08,3/5/2025 6:12,anonymous,,25-34,Science/Research,Daily,Smartphone;Laptop,Good ,Using a password manager to generate and store unique passwords.,No,,All of the above,I don’t actively learn about cybersecurity,Use a password manager;Reuse passwords across accounts,Only when required,Too difficult to remember new passwords,Yes,Verify sender details before taking action,Never,I don’t know,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important,,,Yes,Yes,No, AI might make mistakes and misidentify threats;AI could collect too much personal data,"Real-time alerts for security threats (e.g., phishing, data breaches)",Online resources are too boring or hard to understand,No,,
88,3/5/2025 9:55,3/5/2025 10:01,anonymous,,25-34,Student,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,No,,I’m not sure,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Never,Too difficult to remember new passwords,No,Ignore it,Never,Close it immediately;Ignore it and continue,Scammers are getting more convincing,,,No,Maybe,"I’ve used AI, but not for cybersecurity",AI replacing human cybersecurity experts;AI could collect too much personal data,"Step-by-step guides;Real-time alerts for security threats (e.g., phishing, data breaches); Hands-on simulations (e.g., recognizing phishing emails in real-time)",I don’t have time to learn,Yes,,
89,3/5/2025 10:27,3/5/2025 10:31,anonymous,,25-34,Finance/Banking,Daily,Smartphone;Laptop,Basic ,Using a password manager to generate and store unique passwords.,Yes,Phishing,All of the above,Formal training at work or school;News & articles,Use simple/easy-to-remember passwords,Only when required,Too difficult to remember new passwords,No,Ignore it,Never,Read carefully before taking action,They don’t recognize the scam,,,No,Yes,Yes,AI could collect too much personal data,Step-by-step guides,Cyber Security is too technical and complex,No,,
90,3/5/2025 10:50,3/5/2025 10:56,anonymous,,18-24,Student,Daily,Smartphone;Tablet;Laptop,Good ,Using a password manager to generate and store unique passwords.,No,,All of the above,Formal training at work or school;News & articles,Create unique passwords for each account,Only when required,I forget to update my passwords,Yes,Ignore it,Rarely,Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity",AI could collect too much personal data,"Short educational videos explaining security concepts;Quick answers to security questions;Step-by-step guides; Hands-on simulations (e.g., recognizing phishing emails in real-time)",I learn best through interactive learning,No,,
91,3/5/2025 11:16,3/5/2025 11:21,anonymous,,18-24,Student,Daily,Smartphone;Desktop computer,Very,Using a password manager to generate and store unique passwords.,Yes,Hacked account,Phishing;Ransomware;Weak passwords;AI-driven cyber attacks;All of the above;Public WiFi risks,"Formal training at work or school;Online courses (YouTube, Udemy, etc.);News & articles;Social media (TikTok, Twitter, Instagram, etc.)",Create unique passwords for each account;Use a password manager;Use simple/easy-to-remember passwords,Once a year,Takes too much time,Yes,Verify sender details before taking action;Depends on the sender,Sometimes,Close it immediately,They don’t recognize the scam;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,Yes,No,No, AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI won’t be useful—I’d rather rely on my own judgment,"Real-time alerts for security threats (e.g., phishing, data breaches)",I think I already know enough,Yes,,"""easy to remember"" and ""hard to crack"" passwords aren't necessarily in opposition. "
92,3/5/2025 11:31,3/5/2025 11:36,anonymous,,35-44,Self-employed,Daily,Smartphone;Laptop;Desktop computer,Basic ,Using a password manager to generate and store unique passwords.,No,,Phishing;AI-driven cyber attacks;Ransomware,I don’t actively learn about cybersecurity,Reuse passwords across accounts,Only when required,laziness,Yes,Ignore it,Never,Read carefully before taking action;Google the warning for more info,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Yes,"I’ve used AI, but not for cybersecurity",AI could be biased and not work equally for everyone; AI might make mistakes and misidentify threats;AI could collect too much personal data,"Step-by-step guides;Quick answers to security questions;Real-time alerts for security threats (e.g., phishing, data breaches);Short educational videos explaining security concepts", I don’t know where to start,No,,
93,3/5/2025 12:13,3/5/2025 12:21,anonymous,,25-34,IT/Cybersecurity professional,Daily,Smartphone;Laptop;Desktop computer,Good ,Using a password manager to generate and store unique passwords.,Not sure,,Weak passwords;Ransomware;Phishing,"Online courses (YouTube, Udemy, etc.)",Use a password manager;Create unique passwords for each account,Never,I don’t think it’s necessary,Yes,Ignore it;Click the link to check what it says;Depends on the sender,Rarely,I don’t know,They don’t recognize the scam;Scammers are getting more convincing;They don’t think cybersecurity is important;They are in a rush and don’t double-check;They trust emails or messages that seem urgent,,,No,Maybe,"I’ve used AI, but not for cybersecurity", AI might make mistakes and misidentify threats;AI could collect too much personal data;AI could be biased and not work equally for everyone;AI won’t be useful—I’d rather rely on my own judgment,?,I am learning more,No,,
